date,nav
2022-02-02,10.3263
2022-02-03,10.3285
2022-02-04,10.331
2022-02-12,10.3502
2022-02-13,10.3576
2022-02-16,10.36
2022-05-22,10.0
2022-05-23,10.0026
2022-05-24,10.0049
2022-05-25,10.0074
2022-05-26,10.0148
2022-05-29,10.0173
2022-05-30,10.0197
2022-05-31,10.0222
2022-06-01,10.0247
2022-06-02,10.0321
2022-06-05,10.0345
2022-06-06,10.037
2022-06-07,10.0395
2022-06-08,10.042
2022-06-09,10.0494
2022-06-12,10.0519
2022-06-13,10.0544
2022-06-14,10.0569
2022-06-15,10.0594
2022-06-16,10.0669
2022-06-19,10.0694
2022-07-05,10.109
2022-07-06,10.1114
2022-07-07,10.1357
2022-07-17,10.1381
2022-07-18,10.1405
2022-07-19,10.1429
2022-07-20,10.1454
2022-07-21,10.1527
2022-07-24,10.1551
2022-07-25,10.1576
2022-07-26,10.16
2022-07-27,10.1625
2022-07-28,10.1698
2022-07-31,10.1722
2022-08-01,10.1747
2022-08-02,10.1771
2022-08-03,10.1795
2022-08-04,10.1869
2022-08-07,10.1894
2022-08-08,10.1934
2022-08-09,10.1943
2022-08-10,10.2047
2022-08-14,10.2071
2022-08-15,10.2096
2022-08-16,10.2123
2022-08-17,10.2144
2022-08-18,10.2218
2022-08-21,10.2242
2022-08-22,10.2267
2022-08-23,10.2291
2022-08-24,10.2315
2022-08-25,10.2389
2022-08-28,10.2414
2022-08-29,10.2437
2022-08-30,10.2461
2022-08-31,10.2482
2022-09-01,10.2554
2022-09-04,10.2578
2022-09-05,10.2602
2022-09-06,10.2624
2022-09-07,10.2648
2022-09-08,10.2718
2022-09-11,10.2741
2022-09-12,10.2765
2022-09-13,10.2784
2022-09-14,10.2815
2022-09-15,10.2888
2022-09-18,10.2913
2022-09-20,10.2961
2022-09-22,10.3061
2022-09-25,10.3086
2022-09-26,10.3111
2022-09-27,10.3136
2022-09-28,10.3161
2022-09-29,10.3237
2022-10-05,10.3405
2022-10-09,10.3429
2022-10-10,10.3454
2022-10-11,10.3477
2022-10-17,10.3625
2022-10-19,10.3674
2022-10-20,10.3748
2022-10-23,10.3773
2022-10-24,10.3797
2022-10-25,10.3819
2022-10-26,10.3843
2022-10-27,10.3926
2022-10-30,10.3954
2022-10-31,10.3979
2022-11-01,10.4006
2022-11-02,10.4034
2022-11-03,10.4119
2022-11-06,10.4148
2022-11-07,10.4177
2022-11-08,10.4205
2022-11-09,10.423
2022-11-10,10.4316
2022-11-13,10.4345
2022-11-14,10.4373
2022-11-15,10.4402
2022-11-16,10.443
2022-11-17,10.4515
2022-11-23,10.4625
2022-11-24,10.4709
2022-11-27,10.4738
2022-11-28,10.4766
2022-11-29,10.4794
2022-12-01,10.4902
2022-12-04,10.493
2022-12-05,10.4958
2022-12-06,10.4984
2022-12-07,10.5011
2022-12-08,10.5095
2022-12-11,10.5123
2022-12-12,10.5155
2022-12-13,10.518
2022-12-14,10.5207
2022-12-15,10.5292
2022-12-18,10.532
2022-12-19,10.5348
2022-12-20,10.5377
2022-12-21,10.5405
2022-12-22,10.5492
2022-12-25,10.5527
2022-12-26,10.5562
2022-12-27,10.5597
2022-12-28,10.5634
2022-12-29,10.5776
2023-01-02,10.5812
